pollutant,urban_area,year,month,station,value_ug_m3
NO2,Colombo,,JAN,Meteorology Department,37
NO2,Colombo,,JAN,Colombo MC,70
NO2,Colombo,,JAN,Gangarama Temple,54
NO2,Colombo,,JAN,Fort Railway Station,130
NO2,Colombo,,JAN,Gunasinghepura,23
NO2,Colombo,,JAN,Jethawanaramaya,80
NO2,Colombo,,JAN,Maligakanda,21
NO2,Colombo,,JAN,Kelaniya,10
NO2,Colombo,,JAN,Borella Police Station,33
NO2,Colombo,,JAN,Ward Place,50
NO2,Colombo,,JAN,CEA Kotte,44
NO2,Colombo,,JAN,Kirulapana,44
NO2,Colombo,,JAN,Dehiwala Junction,28
NO2,Colombo,,JAN,Nugegoda Town,68
NO2,Colombo,,JAN,Malabe,118
NO2,Colombo,,JAN,Peliyagoda,118
NO2,Colombo,,JAN,Waththala,58
NO2,Colombo,,JAN,Maradana Railway Station,65
NO2,Colombo,,JAN,Colombo District Average,83
NO2,Colombo,,FEB,Meteorology Department,30
NO2,Colombo,,FEB,Colombo MC,72
NO2,Colombo,,FEB,Gangarama Temple,34
NO2,Colombo,,FEB,Fort Railway Station,140
NO2,Colombo,,FEB,Gunasinghepura,62
NO2,Colombo,,FEB,Jethawanaramaya,85
NO2,Colombo,,FEB,Maligakanda,38
NO2,Colombo,,FEB,Kelaniya,59
NO2,Colombo,,FEB,Borella Police Station,60
NO2,Colombo,,FEB,Ward Place,57
NO2,Colombo,,FEB,CEA Kotte,52
NO2,Colombo,,FEB,Kirulapana,46
NO2,Colombo,,FEB,Dehiwala Junction,36
NO2,Colombo,,FEB,Nugegoda Town,77
NO2,Colombo,,FEB,Malabe,75
NO2,Colombo,,FEB,Peliyagoda,88
NO2,Colombo,,FEB,Waththala,81
NO2,Colombo,,FEB,Maradana Railway Station,75
NO2,Colombo,,FEB,Colombo District Average,154
NO2,Colombo,,MAR,Meteorology Department,47
NO2,Colombo,,MAR,Colombo MC,53
NO2,Colombo,,MAR,Gangarama Temple,55
NO2,Colombo,,MAR,Fort Railway Station,119
NO2,Colombo,,MAR,Gunasinghepura,62
NO2,Colombo,,MAR,Jethawanaramaya,70
NO2,Colombo,,MAR,Maligakanda,55
NO2,Colombo,,MAR,Kelaniya,31
NO2,Colombo,,MAR,Borella Police Station,62
NO2,Colombo,,MAR,Ward Place,45
NO2,Colombo,,MAR,CEA Kotte,47
NO2,Colombo,,MAR,Kirulapana,50
NO2,Colombo,,MAR,Dehiwala Junction,38
NO2,Colombo,,MAR,Nugegoda Town,67
NO2,Colombo,,MAR,Malabe,64
NO2,Colombo,,MAR,Peliyagoda,99
NO2,Colombo,,MAR,Waththala,72
NO2,Colombo,,MAR,Maradana Railway Station,80
NO2,Colombo,,MAR,Colombo District Average,132
NO2,Colombo,,APR,Meteorology Department,49
NO2,Colombo,,APR,Colombo MC,39
NO2,Colombo,,APR,Gangarama Temple,58
NO2,Colombo,,APR,Fort Railway Station,145
NO2,Colombo,,APR,Gunasinghepura,80
NO2,Colombo,,APR,Jethawanaramaya,115
NO2,Colombo,,APR,Maligakanda,96
NO2,Colombo,,APR,Kelaniya,66
NO2,Colombo,,APR,Borella Police Station,92
NO2,Colombo,,APR,Ward Place,64
NO2,Colombo,,APR,CEA Kotte,66
NO2,Colombo,,APR,Kirulapana,34
NO2,Colombo,,APR,Dehiwala Junction,59
NO2,Colombo,,APR,Nugegoda Town,77
NO2,Colombo,,APR,Malabe,52
NO2,Colombo,,APR,Peliyagoda,109
NO2,Colombo,,APR,Waththala,76
NO2,Colombo,,APR,Maradana Railway Station,197
NO2,Colombo,,APR,Colombo District Average,197
NO2,Colombo,,MAY,Meteorology Department,48
NO2,Colombo,,MAY,Colombo MC,27
NO2,Colombo,,MAY,Gangarama Temple,76
NO2,Colombo,,MAY,Fort Railway Station,101
NO2,Colombo,,MAY,Gunasinghepura,83
NO2,Colombo,,MAY,Jethawanaramaya,19
NO2,Colombo,,MAY,Maligakanda,68
NO2,Colombo,,MAY,Kelaniya,47
NO2,Colombo,,MAY,Borella Police Station,67
NO2,Colombo,,MAY,Ward Place,28
NO2,Colombo,,MAY,CEA Kotte,37
NO2,Colombo,,MAY,Kirulapana,57
NO2,Colombo,,MAY,Dehiwala Junction,44
NO2,Colombo,,MAY,Nugegoda Town,57
NO2,Colombo,,MAY,Malabe,54
NO2,Colombo,,MAY,Peliyagoda,63
NO2,Colombo,,MAY,Waththala,70
NO2,Colombo,,MAY,Maradana Railway Station,27
NO2,Colombo,,MAY,Colombo District Average,126
NO2,Colombo,,JUN,Meteorology Department,84
NO2,Colombo,,JUN,Colombo MC,57
NO2,Colombo,,JUN,Gangarama Temple,72
NO2,Colombo,,JUN,Fort Railway Station,93
NO2,Colombo,,JUN,Gunasinghepura,78
NO2,Colombo,,JUN,Jethawanaramaya,115
NO2,Colombo,,JUN,Maligakanda,74
NO2,Colombo,,JUN,Kelaniya,54
NO2,Colombo,,JUN,Borella Police Station,81
NO2,Colombo,,JUN,Ward Place,32
NO2,Colombo,,JUN,CEA Kotte,30
NO2,Colombo,,JUN,Kirulapana,43
NO2,Colombo,,JUN,Dehiwala Junction,33
NO2,Colombo,,JUN,Nugegoda Town,42
NO2,Colombo,,JUN,Malabe,50
NO2,Colombo,,JUN,Peliyagoda,92
NO2,Colombo,,JUN,Waththala,94
NO2,Colombo,,JUN,Maradana Railway Station,27
NO2,Colombo,,JUN,Colombo District Average,89
NO2,Colombo,,AUG,Meteorology Department,36
NO2,Colombo,,AUG,Colombo MC,27
NO2,Colombo,,AUG,Gangarama Temple,36
NO2,Colombo,,AUG,Fort Railway Station,68
NO2,Colombo,,AUG,Gunasinghepura,73
NO2,Colombo,,AUG,Jethawanaramaya,97
NO2,Colombo,,AUG,Maligakanda,81
NO2,Colombo,,AUG,Kelaniya,43
NO2,Colombo,,AUG,Borella Police Station,68
NO2,Colombo,,AUG,Ward Place,22
NO2,Colombo,,AUG,CEA Kotte,28
NO2,Colombo,,AUG,Kirulapana,21
NO2,Colombo,,AUG,Dehiwala Junction,37
NO2,Colombo,,AUG,Nugegoda Town,60
NO2,Colombo,,AUG,Malabe,40
NO2,Colombo,,AUG,Peliyagoda,104
NO2,Colombo,,AUG,Waththala,72
NO2,Colombo,,AUG,Maradana Railway Station,107
NO2,Colombo,,AUG,Colombo District Average,163
NO2,Colombo,,SEP,Meteorology Department,67
NO2,Colombo,,SEP,Colombo MC,35
NO2,Colombo,,SEP,Gangarama Temple,30
NO2,Colombo,,SEP,Fort Railway Station,67
NO2,Colombo,,SEP,Gunasinghepura,103
NO2,Colombo,,SEP,Jethawanaramaya,77
NO2,Colombo,,SEP,Maligakanda,55
NO2,Colombo,,SEP,Kelaniya,50
NO2,Colombo,,SEP,Borella Police Station,77
NO2,Colombo,,SEP,Ward Place,34
NO2,Colombo,,SEP,CEA Kotte,25
NO2,Colombo,,SEP,Kirulapana,21
NO2,Colombo,,SEP,Dehiwala Junction,38
NO2,Colombo,,SEP,Nugegoda Town,72
NO2,Colombo,,SEP,Malabe,38
NO2,Colombo,,SEP,Peliyagoda,61
NO2,Colombo,,SEP,Waththala,71
NO2,Colombo,,SEP,Maradana Railway Station,101
NO2,Colombo,,SEP,Colombo District Average,189
NO2,Colombo,,OCT,Meteorology Department,53
NO2,Colombo,,OCT,Colombo MC,78
NO2,Colombo,,OCT,Gangarama Temple,57
NO2,Colombo,,OCT,Fort Railway Station,74
NO2,Colombo,,OCT,Gunasinghepura,69
NO2,Colombo,,OCT,Jethawanaramaya,81
NO2,Colombo,,OCT,Maligakanda,83
NO2,Colombo,,OCT,Kelaniya,72
NO2,Colombo,,OCT,Borella Police Station,81
NO2,Colombo,,OCT,Ward Place,42
NO2,Colombo,,OCT,CEA Kotte,42
NO2,Colombo,,OCT,Kirulapana,18
