,year,vim,vim_avg,viq,brightness,bright_t31,Fire Radiative Power,population,no2_ug_m3_avg,so2_ug_m3_avg,respiratory_cases,deaths,respiratory_cases_per_100k,deaths_per_100k
year,1.0,0.07418786353318578,1.489865691536119e-14,0.2358011912447959,-0.09639848081389131,-0.06880957319236787,-0.08886931073889769,0.024133388715698544,-0.05056540916124678,0.20799140190992113,-0.14212821153922287,-0.05607241245857715,-0.2789359145151865,-0.07987420021747495
vim,0.07418786353318578,1.0,0.950821991745716,0.1508275218571918,-0.3215779874820138,-0.11531122563424331,-0.15866634325662152,0.21410349038646187,0.3761649090292083,0.2844391524092106,0.20380883624964438,0.27760036832077584,-0.10706951019999052,0.3123760634310358
vim_avg,1.489865691536119e-14,0.950821991745716,1.0,-0.1603442706277252,-0.2670716498923705,0.010984524707896619,-0.13403889783116532,0.23689464309870964,0.4192134168849157,0.30065109866335055,0.2123487742756802,0.2857563378128701,-0.11215676615253245,0.2905199020314044
viq,0.2358011912447959,0.1508275218571918,-0.1603442706277252,1.0,-0.145616717871421,-0.29447871236305484,-0.06672490646957233,-0.07222501736048158,-0.1328492960823195,-0.04733780316367121,-0.025506734038996913,-0.030283511050094008,0.01907558491477227,0.06355480406557654
brightness,-0.09639848081389131,-0.3215779874820138,-0.2670716498923705,-0.145616717871421,1.0,0.47811767802495253,0.5199546796878933,-0.17524113730032922,-0.22773072379858078,-0.20845283961088645,-0.11765518806618762,-0.1661457927998148,0.056208489589259884,-0.11109024703679034
bright_t31,-0.06880957319236787,-0.11531122563424331,0.010984524707896619,-0.29447871236305484,0.47811767802495253,1.0,-0.022224313140176352,0.023009268035041615,0.0985100203034751,0.10272485411977267,-0.04391256462880944,-0.07764667987597067,-0.0794016946694697,-0.13399962276052887
Fire Radiative Power,-0.08886931073889769,-0.15866634325662152,-0.13403889783116532,-0.06672490646957233,0.5199546796878933,-0.022224313140176352,1.0,-0.13180240835068696,-0.11588398584167527,-0.1395210143863285,-0.023009967152067066,-0.06579304406646262,0.13620866776194784,0.009871317834657606
population,0.024133388715698544,0.21410349038646187,0.23689464309870964,-0.07222501736048158,-0.17524113730032922,0.023009268035041615,-0.13180240835068696,1.0,0.542359180199169,0.5897853314281556,0.7368779635937022,0.714077975521721,-0.2069243108758684,0.148478257746594
no2_ug_m3_avg,-0.05056540916124678,0.3761649090292083,0.4192134168849157,-0.1328492960823195,-0.22773072379858078,0.0985100203034751,-0.11588398584167527,0.542359180199169,1.0,0.6552583605535919,0.4944541057714463,0.6200494745648897,-0.024330959305088114,0.4276906096649147
so2_ug_m3_avg,0.20799140190992113,0.2844391524092106,0.30065109866335055,-0.04733780316367121,-0.20845283961088645,0.10272485411977267,-0.1395210143863285,0.5897853314281556,0.6552583605535919,1.0,0.4799993497027836,0.5018525999432387,-0.09639244705143932,0.22333868877693316
respiratory_cases,-0.14212821153922287,0.20380883624964438,0.2123487742756802,-0.025506734038996913,-0.11765518806618762,-0.04391256462880944,-0.023009967152067066,0.7368779635937022,0.4944541057714463,0.4799993497027836,1.0,0.8116247535629478,0.3852452694351223,0.46818284648123415
deaths,-0.05607241245857715,0.27760036832077584,0.2857563378128701,-0.030283511050094008,-0.1661457927998148,-0.07764667987597067,-0.06579304406646262,0.714077975521721,0.6200494745648897,0.5018525999432387,0.8116247535629478,1.0,0.15757433448531946,0.6869013635028556
respiratory_cases_per_100k,-0.2789359145151865,-0.10706951019999052,-0.11215676615253245,0.01907558491477227,0.056208489589259884,-0.0794016946694697,0.13620866776194784,-0.2069243108758684,-0.024330959305088114,-0.09639244705143932,0.3852452694351223,0.15757433448531946,1.0,0.4530575595943319
deaths_per_100k,-0.07987420021747495,0.3123760634310358,0.2905199020314044,0.06355480406557654,-0.11109024703679034,-0.13399962276052887,0.009871317834657606,0.148478257746594,0.4276906096649147,0.22333868877693316,0.46818284648123415,0.6869013635028556,0.4530575595943319,1.0
