country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024
Sri Lanka,Ampara,30,448368,201738,172595,2332,296,212,189,426,290,246,274,281,509,454,300,1070,369,330,162,535,478,523,210,394,159,177,389,515
Sri Lanka,Anuradhapura,30,720607,370997,318700,6554,390,484,316,1213,233,1163,3047,455,4935,886,4450,1648,1355,1600,999,2433,652,1490,975,1201,1644,775,1333,1835
Sri Lanka,Badulla,30,286877,193897,164886,1619,208,208,100,239,235,457,337,262,463,169,559,294,158,233,144,545,431,419,228,507,251,384,510,508
Sri Lanka,Batticaloa,30,247056,49137,40131,2512,26,41,11,63,36,42,73,39,142,148,185,130,115,107,283,139,132,220,113,143,95,119,218,223
Sri Lanka,Colombo,30,68301,35336,29011,354,31,49,27,49,100,278,156,140,115,68,168,173,94,147,137,324,314,234,158,181,428,155,126,108
Sri Lanka,Galle,30,161446,135272,127191,1514,159,102,103,147,309,309,297,204,310,193,358,553,229,400,163,410,355,354,450,262,285,241,159,187
Sri Lanka,Gampaha,30,138171,95313,80366,477,49,47,31,68,105,219,178,122,179,93,187,198,67,220,156,607,327,258,222,177,331,130,114,170
Sri Lanka,Hambantota,30,260879,118445,101568,3873,191,77,112,192,322,207,234,284,421,420,278,463,160,239,62,552,306,288,115,170,197,228,199,140
Sri Lanka,Jaffna,30,106061,3122,4019,527,1,2,0,1,0,2,2,8,25,2,16,11,25,25,23,112,34,44,26,4,4,3,5,8
Sri Lanka,Kalutara,30,164738,135204,125173,1879,160,122,153,108,238,422,325,338,295,168,363,353,255,511,472,751,856,761,858,699,867,609,485,633
Sri Lanka,Kandy,30,193461,161037,147893,729,68,90,57,201,135,278,192,143,173,87,263,279,74,202,96,255,170,129,123,195,169,148,269,188
Sri Lanka,Kegalle,30,166177,155153,149767,445,56,66,113,98,173,362,308,392,379,235,378,408,269,891,474,1128,1425,830,832,738,752,421,446,484
Sri Lanka,Kilinochchi,30,130099,36807,35308,536,10,12,34,52,123,143,224,55,52,52,233,115,139,176,40,79,107,199,159,85,132,68,144,56
Sri Lanka,Kurunegala,30,490179,292172,247036,5111,387,75,71,497,172,307,350,218,861,213,462,1838,840,2367,564,1893,1081,1487,812,1236,2418,1231,1634,946
Sri Lanka,Mannar,30,201772,129126,124718,456,19,30,24,58,58,39,137,225,122,403,334,428,480,553,416,355,216,168,141,134,210,363,308,242
Sri Lanka,Matale,30,206947,156657,149133,1184,48,65,35,176,47,226,153,173,478,195,492,300,108,228,358,1035,1287,679,789,303,291,98,247,250
Sri Lanka,Matara,30,130120,108815,102309,537,91,59,73,71,170,176,178,105,203,108,180,222,88,99,53,368,334,314,246,241,193,198,129,158
Sri Lanka,Moneragala,30,575856,345424,305841,12323,675,776,1095,557,571,525,879,1164,674,746,487,2396,376,470,270,693,778,516,354,493,316,238,1024,1077
Sri Lanka,Mullaitivu,30,256431,175762,167918,1285,38,26,51,116,202,309,389,205,406,317,767,609,580,972,335,983,585,1014,636,819,818,458,418,676
Sri Lanka,Nuwara Eliya,30,173800,140077,126313,746,187,197,102,265,324,477,362,429,357,143,356,353,141,327,221,207,161,225,206,337,196,233,420,479
Sri Lanka,Polonnaruwa,30,343872,175261,153459,2831,55,152,38,89,45,155,198,71,376,139,913,155,265,334,332,553,339,383,403,326,397,143,250,233
Sri Lanka,Puttalam,30,314948,171459,143635,6499,185,188,135,382,246,256,510,390,370,777,589,699,517,361,251,929,735,474,292,472,746,472,597,344
Sri Lanka,Ratnapura,30,329262,275806,260171,2792,96,108,121,113,270,474,367,439,414,269,402,330,183,294,342,749,739,824,594,639,710,486,683,661
Sri Lanka,Trincomalee,30,267076,138877,125505,1331,48,147,75,253,145,351,718,235,634,443,1155,457,284,276,389,245,402,431,493,509,323,233,345,420
Sri Lanka,Vavuniya,30,201217,139017,129581,1630,283,92,84,167,129,310,351,126,1081,502,865,946,781,983,655,1610,820,893,874,949,1362,802,1265,1229
