Year,CO2_Total_KT,CO2_Transport_Pct,Fossil_Electricity_Pct
2010,1069545.1797793,4627.89098741442,46.8845477270623
2011,1066627.43230518,3998.37933940031,59.152513295591
2012,1000112.59252588,3210.17809946841,70.7587597680867
2013,925057.501168946,3652.11062590637,40.1230973966564
2014,936032.593525879,2720.60931899385,60.7976887890218
2015,558911.257441407,,51.5248065543924
2016,636829.514220703,,67.3690842901148
2017,441785.202441406,,69.6485200845666
2018,411753.70213623,,54.8333118805509
2019,306325.602746582,,65.5336505778382
2020,174770.4,,64.7030244139439
2021,,,51.09032480202
2022,,,49.7104247104247
2023,,,
2024,,,
2025,,,
