Year,District,Petrol_Liters,Diesel_Liters,Kerosene_Liters,LPG_Kg,Other_Liters,Total_Fuel_MJ,Data_Source
2010,Colombo,,559651390.0,8467710.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Gampaha,,254317150.0,10560000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Kalutara,,94040100.0,5847600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Matara,,65902610.0,4910400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Galle,,76184000.0,5606700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Hambantota,,56380180.0,4715700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Jaffna,,41913340.0,10969200.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Mullaitivu,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Batticaloa,,56323830.0,6230400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Ampara,,46572900.0,5517600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Trincomalee,,44797500.0,8124600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Kandy,,81993200.0,3451800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Matale,,36504600.0,1947000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Nuwara Eliya,,33038580.0,2283600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Kegalle,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Ratnapura,,70864200.0,2145000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Kurunegala,,130524900.0,5441910.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Puttalam,,68966700.0,15483600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Anuradhapura,,87306450.0,3659700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Polonnaruwa,,41405100.0,1821600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Badulla,,86278390.0,1904100.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Monaragala,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Vavuniya,,22558700.0,1910700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Mannar,,10312500.0,5695800.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2010,Kilinochchi,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
2011,Colombo,,559651390.0,8467710.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2011,Gampaha,,254317150.0,10560000.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2011,Kalutara,,94040100.0,5847600.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2011,Matara,,65902610.0,4910400.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2011,Galle,,76184000.0,5606700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2011,Hambantota,,56380180.0,4715700.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2011,Jaffna,,41913340.0,10969200.0,,,,SLSEA Energy Balance 2022 (Automated extraction)
2011,Mullaitivu,,,,,,,SLSEA Energy Balance 2022 (Automated extraction)
