Year,Month,Month_Name,District,Monthly_Share,Diesel_Liters_Monthly,Kerosene_Liters_Monthly,Petrol_Liters_Monthly
2022,1,January,Colombo,0.0026564575357449797,1486690.1523556525,22494.11204000312,
2022,2,February,Colombo,0.002396020522436648,1340936.2158501963,20288.80693804203,
2022,3,March,Colombo,0.009792431700393258,5480348.01260515,82919.471833737,
2022,4,April,Colombo,0.08055316821626689,45081692.56113759,682100.8680365653,
2022,5,May,Colombo,0.1173529181967341,65676723.789358534,993710.4789436674,
2022,6,June,Colombo,0.13995885095189725,78328165.47803213,1185130.9617938898,
2022,7,July,Colombo,0.12511394119332236,70020191.09722112,1059428.5709821077,
2022,8,August,Colombo,0.10938354558949917,61216653.33229158,926228.1428236581,
2022,9,September,Colombo,0.10677917545641585,59759113.96723702,904175.0918040471,
2022,10,October,Colombo,0.10547699038987417,59030344.28470972,893148.5662942413,
2022,11,November,Colombo,0.10157043519024922,56844035.23712789,860068.9897648252,
2022,12,December,Colombo,0.0989660650571659,55386495.87207333,838015.9387452143,
2022,1,January,Gampaha,0.0026564575357449797,675582.7095866863,28052.191577466987,
2022,2,February,Gampaha,0.002396020522436648,609349.1106075994,25301.976716931003,
2022,3,March,Gampaha,0.009792431700393258,2490383.321613667,103408.0787561528,
2022,4,April,Gampaha,0.08055316821626689,20486052.16423158,850641.4563637783,
2022,5,May,Gampaha,0.1173529181967341,29844859.699976556,1239246.8161575121,
2022,6,June,Gampaha,0.13995885095189725,35593936.0913613,1477965.4660520349,
2022,7,July,Gampaha,0.12511394119332236,31818620.949553344,1321203.219001484,
2022,8,August,Gampaha,0.10938354558949917,27818111.571216498,1155090.2414251112,
2022,9,September,Gampaha,0.10677917545641585,27155775.58142563,1127588.0928197515,
2022,10,October,Gampaha,0.10547699038987417,26824607.586530186,1113837.0185170711,
2022,11,November,Gampaha,0.10157043519024922,25831103.60184389,1072583.7956090318,
2022,12,December,Gampaha,0.0989660650571659,25168767.612053018,1045081.647003672,
2022,1,January,Kalutara,0.0026564575357449797,249813.53230721146,15533.901086022342,
2022,2,February,Kalutara,0.002396020522436648,225322.00953199464,14010.969607000545,
