Year,Vehicle_Type,Count
2014,MOTOR CARS,38780.0
2015,MOTOR CARS,105628.0
2016,MOTOR CARS,45172.0
2017,MOTOR CARS,39182.0
2018,MOTOR CARS,80776.0
2019,MOTOR CARS,38232.0
2020,MOTOR CARS,21021.0
2021,MOTOR CARS,3495.0
2022,MOTOR CARS,1489.0
2023,MOTOR CARS,1816.0
2024,MOTOR CARS,1644.0
2025,MOTOR CARS,68047.0
2014,MOTOR TRICYCLES,79038.0
2015,MOTOR TRICYCLES,129547.0
2016,MOTOR TRICYCLES,56945.0
2017,MOTOR TRICYCLES,23537.0
2018,MOTOR TRICYCLES,20063.0
2019,MOTOR TRICYCLES,15490.0
2020,MOTOR TRICYCLES,7150.0
2021,MOTOR TRICYCLES,2093.0
2022,MOTOR TRICYCLES,36.0
2023,MOTOR TRICYCLES,60.0
2024,MOTOR TRICYCLES,94.0
2025,MOTOR TRICYCLES,17332.0
2014,MOTOR CYCLES,272885.0
2015,MOTOR CYCLES,370889.0
2016,MOTOR CYCLES,340129.0
2017,MOTOR CYCLES,344380.0
2018,MOTOR CYCLES,339763.0
2019,MOTOR CYCLES,284301.0
2020,MOTOR CYCLES,151634.0
2021,MOTOR CYCLES,8011.0
2022,MOTOR CYCLES,9060.0
2023,MOTOR CYCLES,20200.0
2024,MOTOR CYCLES,65289.0
2025,MOTOR CYCLES,254817.0
2014,BUSES,3851.0
2015,BUSES,4140.0
2016,BUSES,2685.0
2017,BUSES,3331.0
2018,BUSES,2957.0
2019,BUSES,1613.0
2020,BUSES,578.0
2021,BUSES,281.0
2022,BUSES,404.0
2023,BUSES,685.0
2024,BUSES,146.0
2025,BUSES,2096.0
2014,DUAL PURPOSE VEHICLES,20799.0
2015,DUAL PURPOSE VEHICLES,39456.0
2016,DUAL PURPOSE VEHICLES,26887.0
2017,DUAL PURPOSE VEHICLES,16742.0
2018,DUAL PURPOSE VEHICLES,16931.0
2019,DUAL PURPOSE VEHICLES,13459.0
2020,DUAL PURPOSE VEHICLES,9532.0
2021,DUAL PURPOSE VEHICLES,771.0
2022,DUAL PURPOSE VEHICLES,760.0
2023,DUAL PURPOSE VEHICLES,586.0
2024,DUAL PURPOSE VEHICLES,1027.0
2025,DUAL PURPOSE VEHICLES,6936.0
2014,MOTOR LORRIES,3851.0
2015,MOTOR LORRIES,5356.0
2016,MOTOR LORRIES,5271.0
2017,MOTOR LORRIES,8689.0
2018,MOTOR LORRIES,7055.0
2019,MOTOR LORRIES,3738.0
2020,MOTOR LORRIES,3000.0
2021,MOTOR LORRIES,2593.0
2022,MOTOR LORRIES,940.0
2023,MOTOR LORRIES,288.0
2024,MOTOR LORRIES,715.0
2025,MOTOR LORRIES,2269.0
2014,PRIME MOVERS,170.0
2015,PRIME MOVERS,316.0
2016,PRIME MOVERS,500.0
2017,PRIME MOVERS,584.0
2018,PRIME MOVERS,426.0
2019,PRIME MOVERS,238.0
2020,PRIME MOVERS,149.0
2021,PRIME MOVERS,359.0
2022,PRIME MOVERS,136.0
2023,PRIME MOVERS,36.0
2024,PRIME MOVERS,106.0
2025,PRIME MOVERS,588.0
2014,LORRY TRAILER/BOWSER,163.0
2015,LORRY TRAILER/BOWSER,210.0
2016,LORRY TRAILER/BOWSER,334.0
2017,LORRY TRAILER/BOWSER,429.0
2018,LORRY TRAILER/BOWSER,303.0
2019,LORRY TRAILER/BOWSER,177.0
2020,LORRY TRAILER/BOWSER,137.0
2021,LORRY TRAILER/BOWSER,299.0
2022,LORRY TRAILER/BOWSER,216.0
2023,LORRY TRAILER/BOWSER,51.0
2024,LORRY TRAILER/BOWSER,145.0
2025,LORRY TRAILER/BOWSER,441.0
2014,SPECIAL PURPOSE VEHICLE,808.0
2015,SPECIAL PURPOSE VEHICLE,1214.0
2016,SPECIAL PURPOSE VEHICLE,1328.0
2017,SPECIAL PURPOSE VEHICLE,1672.0
2018,SPECIAL PURPOSE VEHICLE,1260.0
2019,SPECIAL PURPOSE VEHICLE,781.0
2020,SPECIAL PURPOSE VEHICLE,649.0
2021,SPECIAL PURPOSE VEHICLE,1093.0
2022,SPECIAL PURPOSE VEHICLE,432.0
2023,SPECIAL PURPOSE VEHICLE,139.0
2024,SPECIAL PURPOSE VEHICLE,300.0
2025,SPECIAL PURPOSE VEHICLE,448.0
2014,AMBULANCES,111.0
2015,AMBULANCES,32.0
2016,AMBULANCES,118.0
2017,AMBULANCES,33.0
2018,AMBULANCES,325.0
2019,AMBULANCES,286.0
2021,AMBULANCES,88.0
2022,AMBULANCES,81.0
2023,AMBULANCES,6.0
2024,AMBULANCES,17.0
2025,AMBULANCES,31.0
2014,HEARSES,18.0
2015,HEARSES,14.0
2016,HEARSES,12.0
2017,HEARSES,25.0
2018,HEARSES,2.0
2019,HEARSES,3.0
2020,HEARSES,6.0
2022,HEARSES,1.0
2023,HEARSES,1.0
2025,HEARSES,1.0
2014,LAND VEHICLES,7070.0
2015,LAND VEHICLES,9977.0
2016,LAND VEHICLES,10285.0
2017,LAND VEHICLES,8821.0
2018,LAND VEHICLES,7460.0
2019,LAND VEHICLES,5696.0
2020,LAND VEHICLES,6025.0
2021,LAND VEHICLES,10420.0
2022,LAND VEHICLES,4369.0
2023,LAND VEHICLES,2784.0
2024,LAND VEHICLES,3038.0
2025,LAND VEHICLES,6027.0
2014,TRACTOR TRAILER/BOWSER,2012.0
2015,TRACTOR TRAILER/BOWSER,2128.0
2016,TRACTOR TRAILER/BOWSER,3662.0
2017,TRACTOR TRAILER/BOWSER,4228.0
2018,TRACTOR TRAILER/BOWSER,2822.0
2019,TRACTOR TRAILER/BOWSER,1970.0
2020,TRACTOR TRAILER/BOWSER,2277.0
2021,TRACTOR TRAILER/BOWSER,4344.0
2022,TRACTOR TRAILER/BOWSER,2560.0
2023,TRACTOR TRAILER/BOWSER,1236.0
2024,TRACTOR TRAILER/BOWSER,1887.0
2025,TRACTOR TRAILER/BOWSER,3052.0
2018,QUADRICYCLE,654.0
2019,QUADRICYCLE,1318.0
2020,QUADRICYCLE,470.0
2024,QUADRICYCLE,1.0
2025,QUADRICYCLE,1.0
2018,MOTOR HOME,2.0
2019,MOTOR HOME,1.0
2021,MOTOR HOME,3.0
2022,OTHER SPECIAL PURPOSE VEHICLE,27.0
2023,OTHER SPECIAL PURPOSE VEHICLE,2.0
2024,OTHER SPECIAL PURPOSE VEHICLE,1.0
2025,OTHER SPECIAL PURPOSE VEHICLE,14.0
2014,Total,429556.0
2015,Total,668907.0
2016,Total,493328.0
2017,Total,451653.0
2018,Total,480799.0
2019,Total,367303.0
2020,Total,202628.0
2025,Total,362100.0
