Date,Value,Category,SubCategory,Source
2000,2330,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2001,1954,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2002,2280,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2003,1995,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2004,2200,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2005,2008,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2006,2152,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2007,1968.139,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2008,1852.917,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2009,2065.916,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2010,1818.606,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2011,2069.549,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2012,1486.399,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2013,1743.49,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2014,1823.986,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2015,1762.682,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2016,1685,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2017,1591,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2018,1674,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2019,1842.197,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2020,1666.807,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
2021,1182,ENERGY annual values,Crude petroleum (t '000) - Imports,adb
