Date,Value,Category,SubCategory,Source
2000,2.00098,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2001,1.563857,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2002,2.131036,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2003,96.803085,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2004,96.166693,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2005,72.937183,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2006,80.398348,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2007,87.34799,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2008,79.322421,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2009,101.587092,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2010,109.465622,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2011,781.906966,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2012,929.619522,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2013,1469.066358,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2014,1608.30361,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2015,1882.890075,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2016,2407.037925,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2017,2529.939912,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2018,2167.255203,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2019,2389.7632,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2020,2599.546131,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
2021,2206,ENERGY annual values,ENERGY Coal (t '000) Exports Imports of services Gross capital formation Changes in inventories,adb
