Date,Value,Category,SubCategory,Source
2000,24.5,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2001,26.5,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2002,30,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2003,32,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2004,44,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2005,50,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2006,60,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2007,75,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2008,70,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2009,73,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2010,73,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2011,84,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2012,115,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2013,121,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2014,111,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2015,95,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2016,95,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2017,95,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2018,101,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2019,104,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2020,104,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
2021,121,ENERGY annual values,ENERGY Retail prices (SLRs or L) Gasoline premium Imports of services Gross capital formation Changes in inventories,adb
