Date,Value,Category,SubCategory,Source
2000,6844,ENERGY annual values,Electricity (kWh million) - Production,adb
2001,6627,ENERGY annual values,Electricity (kWh million) - Production,adb
2002,6951,ENERGY annual values,Electricity (kWh million) - Production,adb
2003,7612,ENERGY annual values,Electricity (kWh million) - Production,adb
2004,8159,ENERGY annual values,Electricity (kWh million) - Production,adb
2005,8769,ENERGY annual values,Electricity (kWh million) - Production,adb
2006,9389,ENERGY annual values,Electricity (kWh million) - Production,adb
2007,9814,ENERGY annual values,Electricity (kWh million) - Production,adb
2008,9901,ENERGY annual values,Electricity (kWh million) - Production,adb
2009,9882,ENERGY annual values,Electricity (kWh million) - Production,adb
2010,10714,ENERGY annual values,Electricity (kWh million) - Production,adb
2011,11528,ENERGY annual values,Electricity (kWh million) - Production,adb
2012,11801,ENERGY annual values,Electricity (kWh million) - Production,adb
2013,11897.58821,ENERGY annual values,Electricity (kWh million) - Production,adb
2014,12357.13129,ENERGY annual values,Electricity (kWh million) - Production,adb
2015,13089.999,ENERGY annual values,Electricity (kWh million) - Production,adb
2016,14148.703,ENERGY annual values,Electricity (kWh million) - Production,adb
2017,14670.76709,ENERGY annual values,Electricity (kWh million) - Production,adb
2018,15254.40197,ENERGY annual values,Electricity (kWh million) - Production,adb
2019,15922.38165,ENERGY annual values,Electricity (kWh million) - Production,adb
2020,15714,ENERGY annual values,Electricity (kWh million) - Production,adb
2021,16716,ENERGY annual values,Electricity (kWh million) - Production,adb
