Date,Value,Category,SubCategory,Source
2005,904.008,,Employed - Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2006,954.981,,Employed - Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2007,932.094,,Employed - Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2008,924.468,,Employed - Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2009,913.387,,Employed - Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2010,985.896,,Employed - Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2011,1090.357,,Employed - Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2012,1138.693,,Employed - Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2013,1046.386,,Employed - Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2014,1012.447,,Employed - Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2015,1059.803,,Employed - Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2016,1102.336645,,Employed - Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2017,1160.443346,,Employed - Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2018,1141.416266,,Employed - Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2019,1134.495705,,Employed - Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2020,1095.38425,,Employed - Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
