Date,Value,Category,SubCategory,Source
2000,20907,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2001,20601,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2002,35608,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2003,38151,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2004,40445,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2005,46108,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2006,52926,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2007,55338.8731,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2008,56847,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2009,58974.254,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2010,156708.0532,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2011,180874.4686,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2012,182139.7413,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2013,156998.3047,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2014,169863.3835,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2015,150038.0908,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2016,154071.8877,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2017,159607.0174,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2018,175518.4085,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2019,184040.7964,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2020,180175.6471,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
2021,187762.8357,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Electricity gas steam and air-conditioning supplyk,adb
