Date,Value,Category,SubCategory,Source
2000,219723,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2001,210894,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2002,389332,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2003,420478,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2004,451633,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2005,480402,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2006,514511,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2007,546145.0864,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2008,571911.1,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2009,570697.878,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2010,1075437.899,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2011,1195774.735,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2012,1289444.976,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2013,1306448.078,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2014,1344090.072,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2015,1417860.976,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2016,1453288.721,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2017,1509059,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2018,1579590.026,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2019,1636751.831,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2020,1650888.508,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2021,1678812.911,,GDP by industrial origin at 1998 market prices _ 2002 producer prices _ 2015 market prices - Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
