Date,Value,Category,SubCategory,Source
2000,21679,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2001,29613,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2002,35608,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2003,43562,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2004,49116,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2005,57908,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2006,72457,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2007,88004.76,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2008,104665.5,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2009,113687,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2010,99481.47484,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2011,87182.77016,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2012,68335.07222,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2013,160290.8078,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2014,84839.91375,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2015,150038.0908,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2016,129594.5019,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2017,95946.38705,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2018,125175.8695,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2019,99421.30736,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2020,127608.6444,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
2021,143088.4109,,GDP by industrial origin at current market prices _ producer price - Electricity gas steam and air-conditioning supplyk,adb
