Date,Value,Category,SubCategory,Source
2000,134827,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2001,158664,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2002,173744.75,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2003,200702,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2004,240307,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2005,287491,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2006,344909,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2007,423819.8,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2008,530980,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2009,599933.8,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2010,637269.0195,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2011,753030.5277,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2012,1011644.193,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2013,1111597.84,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2014,1230234.673,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2015,1244169.332,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2016,1387179.545,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2017,1455769.396,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2018,1567617.65,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2019,1680634.401,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2020,1571118.738,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
2021,1629893.377,,GDP by industrial origin at current market prices _ producer price - Transportation and storagem,adb
