Date,Value,Category,SubCategory,Source
2005,484.999,LABOR FORCEb calendar year ('000),LABOR Employed Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2006,430.331,LABOR FORCEb calendar year ('000),LABOR Employed Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2007,456.804,LABOR FORCEb calendar year ('000),LABOR Employed Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2008,425.972,LABOR FORCEb calendar year ('000),LABOR Employed Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2009,419.627,LABOR FORCEb calendar year ('000),LABOR Employed Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2010,462.651,LABOR FORCEb calendar year ('000),LABOR Employed Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2011,505.396,LABOR FORCEb calendar year ('000),LABOR Employed Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2012,525.989,LABOR FORCEb calendar year ('000),LABOR Employed Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2013,467.835,LABOR FORCEb calendar year ('000),LABOR Employed Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2014,481.331,LABOR FORCEb calendar year ('000),LABOR Employed Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2015,480.338,LABOR FORCEb calendar year ('000),LABOR Employed Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2016,516.128208,LABOR FORCEb calendar year ('000),LABOR Employed Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2017,512.9912139,LABOR FORCEb calendar year ('000),LABOR Employed Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2018,502.1255868,LABOR FORCEb calendar year ('000),LABOR Employed Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2019,514.4692647,LABOR FORCEb calendar year ('000),LABOR Employed Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
2020,523.65375,LABOR FORCEb calendar year ('000),LABOR Employed Wholesale and retail trade_ repair of motor vehicles and motorcycles,adb
