Date,Value,Category,SubCategory,Source
2010,23175.38064,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL Electricity gas steam and air-conditioning supplyk Imports of services Statistical discrepancy Changes in inventories,adb
2011,24179.62688,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL Electricity gas steam and air-conditioning supplyk Imports of services Statistical discrepancy Changes in inventories,adb
2012,27333.88478,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL Electricity gas steam and air-conditioning supplyk Imports of services Statistical discrepancy Changes in inventories,adb
2013,28749.72652,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL Electricity gas steam and air-conditioning supplyk Imports of services Statistical discrepancy Changes in inventories,adb
2014,31135.25896,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL Electricity gas steam and air-conditioning supplyk Imports of services Statistical discrepancy Changes in inventories,adb
2015,35756.3224,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL Electricity gas steam and air-conditioning supplyk Imports of services Statistical discrepancy Changes in inventories,adb
2016,41007.37907,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL Electricity gas steam and air-conditioning supplyk Imports of services Statistical discrepancy Changes in inventories,adb
2017,44510.50337,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL Electricity gas steam and air-conditioning supplyk Imports of services Statistical discrepancy Changes in inventories,adb
2018,43127.66626,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL Electricity gas steam and air-conditioning supplyk Imports of services Statistical discrepancy Changes in inventories,adb
2019,43954.07628,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL Electricity gas steam and air-conditioning supplyk Imports of services Statistical discrepancy Changes in inventories,adb
2020,44390.85873,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL Electricity gas steam and air-conditioning supplyk Imports of services Statistical discrepancy Changes in inventories,adb
2021,39323.35108,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL Electricity gas steam and air-conditioning supplyk Imports of services Statistical discrepancy Changes in inventories,adb
