Date,Value,Category,SubCategory,Source
2010,102708.6391,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Transportation and storagem,adb
2011,131661.2946,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Transportation and storagem,adb
2012,180346.32,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Transportation and storagem,adb
2013,181735.015,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Transportation and storagem,adb
2014,195075.2268,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Transportation and storagem,adb
2015,200624.1112,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Transportation and storagem,adb
2016,217015.254,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Transportation and storagem,adb
2017,232127.841,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Transportation and storagem,adb
2018,252645.801,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Transportation and storagem,adb
2019,246727.9018,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Transportation and storagem,adb
2020,149677.8534,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Transportation and storagem,adb
2021,164216.8592,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Transportation and storagem,adb
