Date,Value,Category,SubCategory,Source
2000,134827,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2001,158664,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2002,173744.75,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2003,200702,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2004,240307,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2005,287491,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2006,344909,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2007,423819.8,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2008,530980,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2009,599933.8,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2010,637269.0195,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2011,753030.5277,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2012,1011644.193,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2013,1111597.84,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2014,1230234.673,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2015,1244169.332,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2016,1387179.545,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2017,1455769.396,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2018,1567617.65,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2019,1680634.401,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2020,1571118.738,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
2021,1629893.377,NATIONAL ACCOUNTS calendar year (SLRs million),NATIONAL GDP by industrial origin at current market prices _ producer price Wholesale and retail trade_ repair of motor vehicles and motorcyclesl,adb
