Date,Value,Category,SubCategory,Source
1998-01,360,Electricity-Electricity,Electricity - Power consumption,cbsl
1998-02,369,Electricity-Electricity,Electricity - Power consumption,cbsl
1998-03,357,Electricity-Electricity,Electricity - Power consumption,cbsl
1998-04,364,Electricity-Electricity,Electricity - Power consumption,cbsl
1998-05,379,Electricity-Electricity,Electricity - Power consumption,cbsl
1998-06,388,Electricity-Electricity,Electricity - Power consumption,cbsl
1998-07,363,Electricity-Electricity,Electricity - Power consumption,cbsl
1998-08,386,Electricity-Electricity,Electricity - Power consumption,cbsl
1998-09,389,Electricity-Electricity,Electricity - Power consumption,cbsl
1998-10,391,Electricity-Electricity,Electricity - Power consumption,cbsl
1998-11,412,Electricity-Electricity,Electricity - Power consumption,cbsl
1998-12,364,Electricity-Electricity,Electricity - Power consumption,cbsl
1999-01,385,Electricity-Electricity,Electricity - Power consumption,cbsl
1999-02,390,Electricity-Electricity,Electricity - Power consumption,cbsl
1999-03,375,Electricity-Electricity,Electricity - Power consumption,cbsl
1999-04,388,Electricity-Electricity,Electricity - Power consumption,cbsl
1999-05,397,Electricity-Electricity,Electricity - Power consumption,cbsl
1999-06,403,Electricity-Electricity,Electricity - Power consumption,cbsl
1999-07,397,Electricity-Electricity,Electricity - Power consumption,cbsl
1999-08,413,Electricity-Electricity,Electricity - Power consumption,cbsl
1999-09,423,Electricity-Electricity,Electricity - Power consumption,cbsl
1999-10,405,Electricity-Electricity,Electricity - Power consumption,cbsl
1999-11,421,Electricity-Electricity,Electricity - Power consumption,cbsl
1999-12,412,Electricity-Electricity,Electricity - Power consumption,cbsl
2000-01,423,Electricity-Electricity,Electricity - Power consumption,cbsl
2000-02,406,Electricity-Electricity,Electricity - Power consumption,cbsl
2000-03,424,Electricity-Electricity,Electricity - Power consumption,cbsl
2000-04,429,Electricity-Electricity,Electricity - Power consumption,cbsl
2000-05,433,Electricity-Electricity,Electricity - Power consumption,cbsl
2000-06,421,Electricity-Electricity,Electricity - Power consumption,cbsl
2000-07,427,Electricity-Electricity,Electricity - Power consumption,cbsl
2000-08,450,Electricity-Electricity,Electricity - Power consumption,cbsl
2000-09,451,Electricity-Electricity,Electricity - Power consumption,cbsl
2000-10,443,Electricity-Electricity,Electricity - Power consumption,cbsl
2000-11,474,Electricity-Electricity,Electricity - Power consumption,cbsl
2000-12,477,Electricity-Electricity,Electricity - Power consumption,cbsl
2001-01,463,Electricity-Electricity,Electricity - Power consumption,cbsl
2001-02,443,Electricity-Electricity,Electricity - Power consumption,cbsl
2001-03,429,Electricity-Electricity,Electricity - Power consumption,cbsl
2001-04,439,Electricity-Electricity,Electricity - Power consumption,cbsl
2001-05,445,Electricity-Electricity,Electricity - Power consumption,cbsl
2001-06,457,Electricity-Electricity,Electricity - Power consumption,cbsl
2001-07,425,Electricity-Electricity,Electricity - Power consumption,cbsl
2001-08,430,Electricity-Electricity,Electricity - Power consumption,cbsl
2001-09,406,Electricity-Electricity,Electricity - Power consumption,cbsl
2001-10,393,Electricity-Electricity,Electricity - Power consumption,cbsl
2001-11,469,Electricity-Electricity,Electricity - Power consumption,cbsl
2001-12,459,Electricity-Electricity,Electricity - Power consumption,cbsl
2002-01,450,Electricity-Electricity,Electricity - Power consumption,cbsl
2002-02,424,Electricity-Electricity,Electricity - Power consumption,cbsl
2002-03,373,Electricity-Electricity,Electricity - Power consumption,cbsl
2002-04,394,Electricity-Electricity,Electricity - Power consumption,cbsl
2002-05,455,Electricity-Electricity,Electricity - Power consumption,cbsl
2002-06,468,Electricity-Electricity,Electricity - Power consumption,cbsl
2002-07,477,Electricity-Electricity,Electricity - Power consumption,cbsl
2002-08,497,Electricity-Electricity,Electricity - Power consumption,cbsl
2002-09,494,Electricity-Electricity,Electricity - Power consumption,cbsl
2002-10,485,Electricity-Electricity,Electricity - Power consumption,cbsl
2002-11,494,Electricity-Electricity,Electricity - Power consumption,cbsl
2002-12,493,Electricity-Electricity,Electricity - Power consumption,cbsl
2003-01,492,Electricity-Electricity,Electricity - Power consumption,cbsl
2003-02,507,Electricity-Electricity,Electricity - Power consumption,cbsl
2003-03,495,Electricity-Electricity,Electricity - Power consumption,cbsl
2003-04,511,Electricity-Electricity,Electricity - Power consumption,cbsl
2003-05,498,Electricity-Electricity,Electricity - Power consumption,cbsl
2003-06,528,Electricity-Electricity,Electricity - Power consumption,cbsl
2003-07,506,Electricity-Electricity,Electricity - Power consumption,cbsl
2003-08,527,Electricity-Electricity,Electricity - Power consumption,cbsl
2003-09,534,Electricity-Electricity,Electricity - Power consumption,cbsl
2003-10,531,Electricity-Electricity,Electricity - Power consumption,cbsl
2003-11,535,Electricity-Electricity,Electricity - Power consumption,cbsl
2003-12,542,Electricity-Electricity,Electricity - Power consumption,cbsl
2004-01,561,Electricity-Electricity,Electricity - Power consumption,cbsl
2004-02,542,Electricity-Electricity,Electricity - Power consumption,cbsl
2004-03,531,Electricity-Electricity,Electricity - Power consumption,cbsl
2004-04,536,Electricity-Electricity,Electricity - Power consumption,cbsl
2004-05,538,Electricity-Electricity,Electricity - Power consumption,cbsl
2004-06,554,Electricity-Electricity,Electricity - Power consumption,cbsl
2004-07,565,Electricity-Electricity,Electricity - Power consumption,cbsl
2004-08,572,Electricity-Electricity,Electricity - Power consumption,cbsl
2004-09,576,Electricity-Electricity,Electricity - Power consumption,cbsl
2004-10,560,Electricity-Electricity,Electricity - Power consumption,cbsl
2004-11,574,Electricity-Electricity,Electricity - Power consumption,cbsl
2004-12,578,Electricity-Electricity,Electricity - Power consumption,cbsl
2005-01,561,Electricity-Electricity,Electricity - Power consumption,cbsl
2005-02,582,Electricity-Electricity,Electricity - Power consumption,cbsl
2005-03,576,Electricity-Electricity,Electricity - Power consumption,cbsl
2005-04,587,Electricity-Electricity,Electricity - Power consumption,cbsl
2005-05,610,Electricity-Electricity,Electricity - Power consumption,cbsl
2005-06,596,Electricity-Electricity,Electricity - Power consumption,cbsl
2005-07,602,Electricity-Electricity,Electricity - Power consumption,cbsl
2005-08,631,Electricity-Electricity,Electricity - Power consumption,cbsl
2005-09,633,Electricity-Electricity,Electricity - Power consumption,cbsl
2005-10,620,Electricity-Electricity,Electricity - Power consumption,cbsl
