Date,Value,Category,SubCategory,Source
1999,202798,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2000,228128,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2001,246828,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2002,261047,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2003,277354,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2004,295400,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2005,314415,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2006,284147,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2007,306927,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2008,329254,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2009,350073,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2010,374729,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2011,403359,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2012,433969,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2013,390039,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2014,405847,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2015,428649,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2016,447709,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2017,464726,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2018,475925.0,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2019,485231,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2020,493033.0,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
2021,505046,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Sabaragamuwa-Total,cbsl
