Date,Value,Category,SubCategory,Source
2000,0,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2001,0,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2002,0,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2003,0,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2004,0,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2005,0,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2006,0,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2007,0,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2008,0,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2009,0,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2010,0,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2011,1,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2012,1,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2013,1,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2014,1,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2015,1,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2016,1,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2017,1,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2018,1,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2019,1,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2020,1,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2021,1,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
2022,1,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Transmission Bulk Supply to LECO,cbsl
