Date,Value,Category,SubCategory,Source
1999,121233,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2000,135948,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2001,206377,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2002,217906,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2003,232622,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2004,249103,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2005,262723,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2006,283725,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2007,302111,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2008,318894,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2009,334922,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2010,353632,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2011,373819,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2012,401725,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2013,308707,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2014,325787,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2015,342013,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2016,364622,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2017,381433,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2018,390670.0,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2019,399578,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2020,407782.0,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
2021,419112,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Uva-Total,cbsl
