Date,Value,Category,SubCategory,Source
1999,893434,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2000,1071556,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2001,1129799,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2002,1180700,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2003,1239605,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2004,1301050,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2005,1363463,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2006,915165,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2007,958390,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2008,999482,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2009,1031141,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2010,1060558,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2011,1094576,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2012,1135298,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2013,1169562,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2014,1200518,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2015,1235682,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2016,1281087,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2017,1316118,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2018,1349535.0,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2019,1381420,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2020,1409815.0,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
2021,1445281,Industry and Housing-Electricity Sales,Electricity Sales-No. of Consumer Accounts-Western-Total,cbsl
