Date,Value,Category,SubCategory,Source
1999,1849.99,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2000,2129.53,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2001,1915.61,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2002,2525.54,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2003,2964.48,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2004,3131.81,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2005,3366.64,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2006,4739.79,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2007,5977.71,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2008,7563.2,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2009,7532.16,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2010,8213.44,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2011,8933.23,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2012,11048.58,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2013,14652.73,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2014,17565.78,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2015,16496.37,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2016,17947.84,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2017,18977.97,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2018,19844.08,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2019,21319.97,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2020,21034.2,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
2021,22318.74,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Central-Total,cbsl
