Date,Value,Category,SubCategory,Source
1999,4587.33,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2000,4800.1,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2001,5327.39,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2002,7768.02,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2003,9170.26,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2004,9829.15,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2005,10770.53,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2006,12870.7,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2007,16055.62,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2008,20272.71,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2009,20878.7,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2010,21718.53,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2011,24205.75,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2012,29464.29,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2013,32620.62,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2014,33866.85,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2015,30020.55,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2016,32351.76,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2017,33146.57,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2018,33723.64,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2019,34734.66,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2020,30812.14,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
2021,30629.47,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Colombo City-Total,cbsl
