Date,Value,Category,SubCategory,Source
1996,14408.54,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
1997,16781.72,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
1998,20176.46,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
1999,21304.08,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2000,28837.2,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2001,28702.18,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2002,39877.41,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2003,47708.92,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2004,60905.18,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2005,66697.56,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2006,70585.01,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2007,87400.06,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2008,110896.1,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2009,110551.05,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2010,120780.3,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2011,132373.02,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2012,162954.54,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2013,190487.64,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2014,204671.63,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2015,188035.77,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2016,206892.03,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2017,218450.46,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2018,204078.38,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2019,242950.33,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2020,238910.55,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2021,249089.29,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
2022,308457.23,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Grand Total Sri Lanka,cbsl
