Date,Value,Category,SubCategory,Source
1999,548.06,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2000,625.41,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2001,760.38,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2002,1206.13,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2003,1589.34,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2004,1539.37,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2005,1488.82,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2006,2024.11,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2007,2484.3,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2008,3189.92,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2009,3292.98,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2010,3757.74,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2011,4239.06,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2012,5415.41,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2013,6506.79,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2014,6708.88,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2015,6340.89,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2016,7457.26,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2017,7848.56,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2018,8428.3,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2019,9193.37,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2020,9696.5,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
2021,10257.38,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Central-Total,cbsl
