Date,Value,Category,SubCategory,Source
1999,1657.95,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2000,1935.4,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2001,2579.2,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2002,3364.52,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2003,3952.62,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2004,4179.44,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2005,4588.01,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2006,5891.91,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2007,7376.24,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2008,9551.19,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2009,9863.47,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2010,10885.87,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2011,11684.48,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2012,14313.44,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2013,16715.88,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2014,17911.17,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2015,16639.0,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2016,18484.95,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2017,19569.07,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2018,20416.34,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2019,22458.36,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2020,23238.14,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
2021,24929.91,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-North Western-Total,cbsl
