Date,Value,Category,SubCategory,Source
1999,998.68,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2000,1140.96,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2001,1611.37,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2002,2103.81,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2003,2333.18,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2004,2439.89,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2005,2665.04,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2006,2998.66,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2007,3502.78,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2008,4442.67,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2009,4315.99,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2010,4779.27,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2011,5194.16,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2012,6411.13,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2013,7314.73,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2014,6631.4,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2015,6187.06,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2016,6760.61,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2017,7127.95,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2018,7615.79,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2019,8009.94,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2020,8185.41,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
2021,8604.82,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Sabaragamuwa-Total,cbsl
