Date,Value,Category,SubCategory,Source
1999,1617.73,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2000,1888.86,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2001,2304.58,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2002,3046.52,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2003,3588.25,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2004,3906.63,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2005,4228.37,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2006,5588.27,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2007,6878.79,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2008,8598.88,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2009,8438.13,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2010,9358.97,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2011,8766.97,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2012,10827.63,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2013,12797.58,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2014,14375.05,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2015,13276.92,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2016,14886.46,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2017,15771.02,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2018,16866.31,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2019,17467.45,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2020,17719.46,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
2021,18712.09,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Southern-Total,cbsl
