Date,Value,Category,SubCategory,Source
1999,8624.86,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2000,14608.82,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2001,17226.11,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2002,24621.23,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2003,29662.34,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2004,31933.79,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2005,34889.86,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2006,30480.42,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2007,37847.04,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2008,48031.72,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2009,46440.25,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2010,50903.99,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2011,42218.25,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2012,51567.3,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2013,60195.49,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2014,65007.47,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2015,59851.64,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2016,65097.12,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2017,69698.18,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2018,74603.59,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2019,77868.81,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2020,77232.98,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
2021,84014.4,Industry and Housing-Electricity Sales,Electricity Sales-Revenue-Western-Total,cbsl
