Date,Value,Category,SubCategory,Source
1999,416.52,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2000,469.38,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2001,360.75,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2002,374.89,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2003,414.5,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2004,438.79,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2005,469.45,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2006,549.33,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2007,595.29,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2008,622.73,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2009,633.64,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2010,688.33,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2011,738.77,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2012,775.9,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2013,884.31,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2014,1043.04,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2015,1132.91,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2016,1211.87,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2017,1265.95,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2018,1309.94,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2019,1394.74,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2020,1364.67,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
2021,1436.71,Industry and Housing-Electricity Sales,Electricity Sales-Units-Central-Total,cbsl
