Date,Value,Category,SubCategory,Source
1999,41.95,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2000,45.69,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2001,58.48,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2002,60.76,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2003,80.71,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2004,98.53,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2005,114.04,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2006,108.36,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2007,108.11,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2008,111.91,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2009,128.88,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2010,164.46,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2011,198.94,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2012,212.89,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2013,240.27,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2014,259.62,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2015,300.79,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2016,342.19,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2017,383.98,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2018,418.98,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2019,439.9,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2020,445.63,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
2021,475.1,Industry and Housing-Electricity Sales,Electricity Sales-Units-Northern-Total,cbsl
