Date,Value,Category,SubCategory,Source
1999,288.54,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2000,257.32,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2001,296.42,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2002,304.24,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2003,321.71,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2004,339.78,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2005,371.44,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2006,349.81,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2007,359.53,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2008,375.54,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2009,377.6,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2010,420.4,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2011,456.62,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2012,485.22,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2013,481.66,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2014,426.85,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2015,457.0,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2016,491.2,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2017,513.47,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2018,541.07,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2019,560.28,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2020,564.8,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
2021,590.34,Industry and Housing-Electricity Sales,Electricity Sales-Units-Sabaragamuwa-Total,cbsl
