Date,Value,Category,SubCategory,Source
1999,124.49,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2000,135.91,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2001,218.8,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2002,214.18,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2003,239.38,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2004,247.19,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2005,268.9,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2006,283.44,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2007,296.25,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2008,310.99,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2009,316.99,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2010,346.5,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2011,369.98,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2012,380.99,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2013,322.05,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2014,278.13,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2015,301.42,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2016,332.7,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2017,350.32,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2018,370.53,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2019,385.24,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2020,396.5,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
2021,419.21,Industry and Housing-Electricity Sales,Electricity Sales-Units-Uva-Total,cbsl
