Date,Value,Category,SubCategory,Source
2016-01,122.9,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2016-02,104.6,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2016-03,112.3,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2016-04,85.2,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2016-05,90.6,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2016-06,98.6,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2016-07,106.7,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2016-08,96.1,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2016-09,96.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2016-10,98.0,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2016-11,81.1,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2016-12,96.4,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2017-01,78.1,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2017-02,89.1,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2017-03,93.8,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2017-04,93.4,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2017-05,101.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2017-06,69.4,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2017-07,83.2,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2017-08,106.1,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2017-09,105.8,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2017-10,105.4,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2017-11,102.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2017-12,103.1,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2018-01,108.1,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2018-02,56.6,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2018-03,36.2,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2018-04,96.0,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2018-05,115.2,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2018-06,92.7,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2018-07,105.2,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2018-08,116.0,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2018-09,114.6,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2018-10,114.4,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2018-11,108.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2018-12,106.4,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2019-01,114.9,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2019-02,106.0,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2019-03,109.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2019-04,112.1,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2019-05,64.8,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2019-06,113.4,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2019-07,116.1,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2019-08,120.7,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2019-09,115.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2019-10,102.2,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2019-11,93.8,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2019-12,113.0,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2020-01,93.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2020-02,106.7,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2020-03,62.0,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2020-04,63.0,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2020-05,91.7,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2020-06,77.9,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2020-07,97.7,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2020-08,112.2,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2020-09,117.6,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2020-10,119.2,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2020-11,109.2,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2020-12,115.8,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2021-01,106.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2021-02,45.8,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2021-03,1.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2021-04,68.0,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2021-05,102.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2021-06,74.9,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2021-07,98.7,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2021-08,114.8,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2021-09,89.2,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2021-10,72.6,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2021-11,29.9,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2021-12,48.9,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2022-01,7.6,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2022-02,74.4,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2022-03,42.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2022-04,1.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2022-05,1.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2022-06,56.8,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2022-07,1.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2022-08,31.7,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2022-09,94.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2022-10,9.9,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2022-11,1.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2022-12,36.8,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2023-01,100.9,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2023-02,81.4,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2023-03,76.2,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2023-04,106.3,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2023-05,101.9,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2023-06,117.7,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2023-07,116,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2023-08,113.8,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2023-09,59.8,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2023-10,75.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2023-11,106.2,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2023-12,114.2,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2024-01,92.1,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2024-02,108.3,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2024-03,108.7,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2024-04,106.2,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2024-05,86.6,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2024-06,80.7,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2024-07,44.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2024-08,17.0,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2024-09,85.1,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2024-10,104.6,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2024-11,87.0,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2024-12,102.6,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2025-01,112.8,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2025-02,95.1,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2025-03,116.9,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2025-04,107.0,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2025-05,110.9,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2025-06,109.3,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2025-07,118.6,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2025-08,100.1,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2025-09,48.0,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2025-10,94.6,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2025-11,107.9,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
2025-12,104.9,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products,cbsl
