Date,Value,Category,SubCategory,Source
2017-01,-36.0,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2017-02,-14.8,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2017-03,-17.3,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2017-04,9.6,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2017-05,12.0,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2017-06,-29.6,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2017-07,-22.0,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2017-08,10.4,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2017-09,9.6,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2017-10,7.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2017-11,26.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2017-12,7.0,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2018-01,38.4,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2018-02,-36.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2018-03,-61.4,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2018-04,2.7,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2018-05,13.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2018-06,33.7,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2018-07,26.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2018-08,9.3,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2018-09,8.4,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2018-10,8.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2018-11,5.8,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2018-12,3.2,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2019-01,6.3,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2019-02,87.1,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2019-03,202.7,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2019-04,16.8,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2019-05,-43.7,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2019-06,22.3,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2019-07,10.3,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2019-08,4.1,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2019-09,0.8,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2019-10,-10.7,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2019-11,-13.5,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2019-12,6.2,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2020-01,-18.6,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
2020-02,0.7,Industry and Housing-Index of Industrial Production,Coke and refined petroleum products Change,cbsl
