Date,Value,Category,SubCategory,Source
2002,35608.0,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water",cbsl
2003,38151.0,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water",cbsl
2004,40445.1,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water",cbsl
2005,46108.0,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water",cbsl
2006,52926.01,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water",cbsl
2007,55338.87,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water",cbsl
2008,56847.0,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water",cbsl
2009,58974.25,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water",cbsl
2010,63682.31,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water",cbsl
2011,69546.78,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water",cbsl
2012,72451.87,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water",cbsl
2013,79913.32,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water",cbsl
2014,83542.03,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water",cbsl
2015,90267,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water",cbsl
