Date,Value,Category,SubCategory,Source
2002,29775.0,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Electricity",cbsl
2003,32142.0,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Electricity",cbsl
2004,34189.1,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Electricity",cbsl
2005,39757.0,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Electricity",cbsl
2006,46182.65,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Electricity",cbsl
2007,48302.77,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Electricity",cbsl
2008,50184.0,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Electricity",cbsl
2009,52016.85,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Electricity",cbsl
2010,56291.0,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Electricity",cbsl
2011,61722.06,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Electricity",cbsl
2012,64352.17,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Electricity",cbsl
2013,71619.9,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Electricity",cbsl
2014,74608.9,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Electricity",cbsl
2015,79796,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Electricity",cbsl
