Date,Value,Category,SubCategory,Source
2002,3765.0,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Gas",cbsl
2003,3904.0,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Gas",cbsl
2004,4092.0,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Gas",cbsl
2005,4087.0,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Gas",cbsl
2006,4398.86,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Gas",cbsl
2007,4524.6,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Gas",cbsl
2008,4062.0,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Gas",cbsl
2009,4280.0,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Gas",cbsl
2010,4593.0,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Gas",cbsl
2011,4855.0,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Gas",cbsl
2012,5100.31,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Gas",cbsl
2013,5180.54,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Gas",cbsl
2014,5660.3,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Gas",cbsl
2015,7066,National Accounts-GDP at Constant Prices - Base Year 2002,"GDP - Constant (2002) Prices - Industry - Electricity, Gas and Water - Gas",cbsl
