Date,Value,Category,SubCategory,Source
2002,173744.6,National Accounts-GDP at Constant Prices - Base Year 2002,GDP - Constant (2002) Prices - Services - Transport and Communication,cbsl
2003,191871.7,National Accounts-GDP at Constant Prices - Base Year 2002,GDP - Constant (2002) Prices - Services - Transport and Communication,cbsl
2004,210494.6,National Accounts-GDP at Constant Prices - Base Year 2002,GDP - Constant (2002) Prices - Services - Transport and Communication,cbsl
2005,230596.7,National Accounts-GDP at Constant Prices - Base Year 2002,GDP - Constant (2002) Prices - Services - Transport and Communication,cbsl
2006,259546.2,National Accounts-GDP at Constant Prices - Base Year 2002,GDP - Constant (2002) Prices - Services - Transport and Communication,cbsl
2007,286763.96,National Accounts-GDP at Constant Prices - Base Year 2002,GDP - Constant (2002) Prices - Services - Transport and Communication,cbsl
2008,310029.4,National Accounts-GDP at Constant Prices - Base Year 2002,GDP - Constant (2002) Prices - Services - Transport and Communication,cbsl
2009,329577.73,National Accounts-GDP at Constant Prices - Base Year 2002,GDP - Constant (2002) Prices - Services - Transport and Communication,cbsl
2010,368642.88,National Accounts-GDP at Constant Prices - Base Year 2002,GDP - Constant (2002) Prices - Services - Transport and Communication,cbsl
2011,410402.13,National Accounts-GDP at Constant Prices - Base Year 2002,GDP - Constant (2002) Prices - Services - Transport and Communication,cbsl
2012,435872.31,National Accounts-GDP at Constant Prices - Base Year 2002,GDP - Constant (2002) Prices - Services - Transport and Communication,cbsl
2013,476721.27,National Accounts-GDP at Constant Prices - Base Year 2002,GDP - Constant (2002) Prices - Services - Transport and Communication,cbsl
2014,511296.18,National Accounts-GDP at Constant Prices - Base Year 2002,GDP - Constant (2002) Prices - Services - Transport and Communication,cbsl
2015,537891,National Accounts-GDP at Constant Prices - Base Year 2002,GDP - Constant (2002) Prices - Services - Transport and Communication,cbsl
