Date,Value,Category,SubCategory,Source
2010,434569.69,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Housing water electricity gas and other fuels,cbsl
2011,475014.76,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Housing water electricity gas and other fuels,cbsl
2012,513163.36,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Housing water electricity gas and other fuels,cbsl
2013,543514.2,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Housing water electricity gas and other fuels,cbsl
2014,585398.64,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Housing water electricity gas and other fuels,cbsl
2015,662461.67,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Housing water electricity gas and other fuels,cbsl
2016,757756.8,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Housing water electricity gas and other fuels,cbsl
2017,857121.73,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Housing water electricity gas and other fuels,cbsl
2018,912201.2,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Housing water electricity gas and other fuels,cbsl
2019,936260.9,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Housing water electricity gas and other fuels,cbsl
2020,950599.6,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Housing water electricity gas and other fuels,cbsl
