Date,Value,Category,SubCategory,Source
2010,858403.98,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Transport,cbsl
2011,891602.98,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Transport,cbsl
2012,927785.14,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Transport,cbsl
2013,994292.5,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Transport,cbsl
2014,1087592.08,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Transport,cbsl
2015,1041309.49,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Transport,cbsl
2016,1250401.82,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Transport,cbsl
2017,1482302.02,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Transport,cbsl
2018,1523426.1,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Transport,cbsl
2019,1567949.8,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Transport,cbsl
2020,1265273.4,National Accounts-GDP at Constant Prices - Base Year 2010,GDE - Constant (2010) Prices - HH Cons. by COICOP - Transport,cbsl
