Date,Value,Category,SubCategory,Source
2010,68491.16,National Accounts-GDP at Constant Prices - Base Year 2010,"GDP - Constant (2010) Prices - Industries - Electricity, gas, steam and air conditioning supply",cbsl
2011,73927.16,National Accounts-GDP at Constant Prices - Base Year 2010,"GDP - Constant (2010) Prices - Industries - Electricity, gas, steam and air conditioning supply",cbsl
2012,75261.87,National Accounts-GDP at Constant Prices - Base Year 2010,"GDP - Constant (2010) Prices - Industries - Electricity, gas, steam and air conditioning supply",cbsl
2013,76788.67,National Accounts-GDP at Constant Prices - Base Year 2010,"GDP - Constant (2010) Prices - Industries - Electricity, gas, steam and air conditioning supply",cbsl
2014,80297.84,National Accounts-GDP at Constant Prices - Base Year 2010,"GDP - Constant (2010) Prices - Industries - Electricity, gas, steam and air conditioning supply",cbsl
2015,85202.06,National Accounts-GDP at Constant Prices - Base Year 2010,"GDP - Constant (2010) Prices - Industries - Electricity, gas, steam and air conditioning supply",cbsl
2016,92355.74,National Accounts-GDP at Constant Prices - Base Year 2010,"GDP - Constant (2010) Prices - Industries - Electricity, gas, steam and air conditioning supply",cbsl
2017,94802.57,National Accounts-GDP at Constant Prices - Base Year 2010,"GDP - Constant (2010) Prices - Industries - Electricity, gas, steam and air conditioning supply",cbsl
2018,100381.73,National Accounts-GDP at Constant Prices - Base Year 2010,"GDP - Constant (2010) Prices - Industries - Electricity, gas, steam and air conditioning supply",cbsl
2019,104436.72,National Accounts-GDP at Constant Prices - Base Year 2010,"GDP - Constant (2010) Prices - Industries - Electricity, gas, steam and air conditioning supply",cbsl
2020,102758.05,National Accounts-GDP at Constant Prices - Base Year 2010,"GDP - Constant (2010) Prices - Industries - Electricity, gas, steam and air conditioning supply",cbsl
