Date,Value,Category,SubCategory,Source
2010,22280.52,National Accounts-GDP at Constant Prices - Base Year 2010,GDP - Constant (2010) Prices - Industries - Manufacture of coke and refined petroleum products,cbsl
2011,35456.79,National Accounts-GDP at Constant Prices - Base Year 2010,GDP - Constant (2010) Prices - Industries - Manufacture of coke and refined petroleum products,cbsl
2012,28858.19,National Accounts-GDP at Constant Prices - Base Year 2010,GDP - Constant (2010) Prices - Industries - Manufacture of coke and refined petroleum products,cbsl
2013,27514.14,National Accounts-GDP at Constant Prices - Base Year 2010,GDP - Constant (2010) Prices - Industries - Manufacture of coke and refined petroleum products,cbsl
2014,28722.89,National Accounts-GDP at Constant Prices - Base Year 2010,GDP - Constant (2010) Prices - Industries - Manufacture of coke and refined petroleum products,cbsl
2015,29075.26,National Accounts-GDP at Constant Prices - Base Year 2010,GDP - Constant (2010) Prices - Industries - Manufacture of coke and refined petroleum products,cbsl
2016,31244.94,National Accounts-GDP at Constant Prices - Base Year 2010,GDP - Constant (2010) Prices - Industries - Manufacture of coke and refined petroleum products,cbsl
2017,29742.95,National Accounts-GDP at Constant Prices - Base Year 2010,GDP - Constant (2010) Prices - Industries - Manufacture of coke and refined petroleum products,cbsl
2018,27312.46,National Accounts-GDP at Constant Prices - Base Year 2010,GDP - Constant (2010) Prices - Industries - Manufacture of coke and refined petroleum products,cbsl
2019,33694.06,National Accounts-GDP at Constant Prices - Base Year 2010,GDP - Constant (2010) Prices - Industries - Manufacture of coke and refined petroleum products,cbsl
2020,30026.05,National Accounts-GDP at Constant Prices - Base Year 2010,GDP - Constant (2010) Prices - Industries - Manufacture of coke and refined petroleum products,cbsl
