Date,Value,Category,SubCategory,Source
2002,29775.0,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Electricity,cbsl
2003,36393.4,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Electricity,cbsl
2004,41022.1,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Electricity,cbsl
2005,46957.8,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Electricity,cbsl
2006,58868.5,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Electricity,cbsl
2007,70975.6,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Electricity,cbsl
2008,87116.4,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Electricity,cbsl
2009,96321.0,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Electricity,cbsl
2010,106028.68,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Electricity,cbsl
2011,115854.41,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Electricity,cbsl
2012,137558.0,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Electricity,cbsl
2013,165140.01,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Electricity,cbsl
2014,178771.72,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Electricity,cbsl
2015,136852,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Electricity,cbsl
