Date,Value,Category,SubCategory,Source
2002,3765.0,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Gas,cbsl
2003,4750.0,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Gas,cbsl
2004,5976.0,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Gas,cbsl
2005,7513.0,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Gas,cbsl
2006,9473.2,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Gas,cbsl
2007,12754.16,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Gas,cbsl
2008,13158.1,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Gas,cbsl
2009,12224.0,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Gas,cbsl
2010,15616.0,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Gas,cbsl
2011,19003.22,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Gas,cbsl
2012,22874.12,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Gas,cbsl
2013,24864.53,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Gas,cbsl
2014,24913.4,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Gas,cbsl
2015,20992,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Industry - Electricity Gas and Water - Gas,cbsl
