Date,Value,Category,SubCategory,Source
2002,173744.6,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication,cbsl
2003,200702.2,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication,cbsl
2004,240306.7,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication,cbsl
2005,287490.8,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication,cbsl
2006,344909.4,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication,cbsl
2007,423819.8,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication,cbsl
2008,530980.0,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication,cbsl
2009,599933.8,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication,cbsl
2010,709399.66,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication,cbsl
2011,818386.04,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication,cbsl
2012,988688.08,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication,cbsl
2013,1162668.8,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication,cbsl
2014,1318017.76,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication,cbsl
2015,1407542,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication,cbsl
