Date,Value,Category,SubCategory,Source
2002,10292.8,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Cargo Handling-Ports a,cbsl
2003,10852.9,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Cargo Handling-Ports a,cbsl
2004,11863.9,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Cargo Handling-Ports a,cbsl
2005,14537.0,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Cargo Handling-Ports a,cbsl
2006,16511.9,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Cargo Handling-Ports a,cbsl
2007,18500.6,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Cargo Handling-Ports a,cbsl
2008,21584.5,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Cargo Handling-Ports a,cbsl
2009,21488.3,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Cargo Handling-Ports a,cbsl
2010,25667.3,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Cargo Handling-Ports a,cbsl
2011,28149.23,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Cargo Handling-Ports a,cbsl
2012,32726.95,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Cargo Handling-Ports a,cbsl
2013,32131.8,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Cargo Handling-Ports a,cbsl
2014,32507.79,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Cargo Handling-Ports a,cbsl
2015,15693,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Cargo Handling-Ports a,cbsl
