Date,Value,Category,SubCategory,Source
2002,10010.5,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Post and Telecommunica,cbsl
2003,14451.3,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Post and Telecommunica,cbsl
2004,18646.5,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Post and Telecommunica,cbsl
2005,28849.7,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Post and Telecommunica,cbsl
2006,39160.1,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Post and Telecommunica,cbsl
2007,51917.5,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Post and Telecommunica,cbsl
2008,62718.3,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Post and Telecommunica,cbsl
2009,20239.5,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Post and Telecommunica,cbsl
2010,27263.4,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Post and Telecommunica,cbsl
2011,36295.25,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Post and Telecommunica,cbsl
2012,30196.82,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Post and Telecommunica,cbsl
2013,32148.6,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Post and Telecommunica,cbsl
2014,41331.07,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Post and Telecommunica,cbsl
2015,49605,National Accounts-GDP at Current Prices - Base Year 2002,GDP - Current Prices (2002 Series) - Services - Transport and Communication - Post and Telecommunica,cbsl
