Date,Value,Category,SubCategory,Source
2010,434569.69,National Accounts-GDP at Current Prices - Base Year 2010,"GDE - Current MP (2010 Series) - HH Cons. by COICOP - Housing, water, electricity, gas and other fue",cbsl
2011,495736.88,National Accounts-GDP at Current Prices - Base Year 2010,"GDE - Current MP (2010 Series) - HH Cons. by COICOP - Housing, water, electricity, gas and other fue",cbsl
2012,587210.42,National Accounts-GDP at Current Prices - Base Year 2010,"GDE - Current MP (2010 Series) - HH Cons. by COICOP - Housing, water, electricity, gas and other fue",cbsl
2013,688512.12,National Accounts-GDP at Current Prices - Base Year 2010,"GDE - Current MP (2010 Series) - HH Cons. by COICOP - Housing, water, electricity, gas and other fue",cbsl
2014,749919.23,National Accounts-GDP at Current Prices - Base Year 2010,"GDE - Current MP (2010 Series) - HH Cons. by COICOP - Housing, water, electricity, gas and other fue",cbsl
2015,769722.66,National Accounts-GDP at Current Prices - Base Year 2010,"GDE - Current MP (2010 Series) - HH Cons. by COICOP - Housing, water, electricity, gas and other fue",cbsl
2016,877268.78,National Accounts-GDP at Current Prices - Base Year 2010,"GDE - Current MP (2010 Series) - HH Cons. by COICOP - Housing, water, electricity, gas and other fue",cbsl
2017,932853.79,National Accounts-GDP at Current Prices - Base Year 2010,"GDE - Current MP (2010 Series) - HH Cons. by COICOP - Housing, water, electricity, gas and other fue",cbsl
2018,1003610.7,National Accounts-GDP at Current Prices - Base Year 2010,"GDE - Current MP (2010 Series) - HH Cons. by COICOP - Housing, water, electricity, gas and other fue",cbsl
2019,1067992.8,National Accounts-GDP at Current Prices - Base Year 2010,"GDE - Current MP (2010 Series) - HH Cons. by COICOP - Housing, water, electricity, gas and other fue",cbsl
2020,1105003.3,National Accounts-GDP at Current Prices - Base Year 2010,"GDE - Current MP (2010 Series) - HH Cons. by COICOP - Housing, water, electricity, gas and other fue",cbsl
