Date,Value,Category,SubCategory,Source
2010,858403.98,National Accounts-GDP at Current Prices - Base Year 2010,GDE - Current MP (2010 Series) - HH Cons. by COICOP - Transport,cbsl
2011,954787.44,National Accounts-GDP at Current Prices - Base Year 2010,GDE - Current MP (2010 Series) - HH Cons. by COICOP - Transport,cbsl
2012,1208046.65,National Accounts-GDP at Current Prices - Base Year 2010,GDE - Current MP (2010 Series) - HH Cons. by COICOP - Transport,cbsl
2013,1353718.21,National Accounts-GDP at Current Prices - Base Year 2010,GDE - Current MP (2010 Series) - HH Cons. by COICOP - Transport,cbsl
2014,1548475.77,National Accounts-GDP at Current Prices - Base Year 2010,GDE - Current MP (2010 Series) - HH Cons. by COICOP - Transport,cbsl
2015,1363317.86,National Accounts-GDP at Current Prices - Base Year 2010,GDE - Current MP (2010 Series) - HH Cons. by COICOP - Transport,cbsl
2016,1674661.28,National Accounts-GDP at Current Prices - Base Year 2010,GDE - Current MP (2010 Series) - HH Cons. by COICOP - Transport,cbsl
2017,2070723.65,National Accounts-GDP at Current Prices - Base Year 2010,GDE - Current MP (2010 Series) - HH Cons. by COICOP - Transport,cbsl
2018,2323639.4,National Accounts-GDP at Current Prices - Base Year 2010,GDE - Current MP (2010 Series) - HH Cons. by COICOP - Transport,cbsl
2019,2540739.4,National Accounts-GDP at Current Prices - Base Year 2010,GDE - Current MP (2010 Series) - HH Cons. by COICOP - Transport,cbsl
2020,2136008.3,National Accounts-GDP at Current Prices - Base Year 2010,GDE - Current MP (2010 Series) - HH Cons. by COICOP - Transport,cbsl
