Date,Value,Category,SubCategory,Source
2010,68491.16,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Electricity gas steam and air conditionin,cbsl
2011,67664.59,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Electricity gas steam and air conditionin,cbsl
2012,78832.61,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Electricity gas steam and air conditionin,cbsl
2013,90538.8,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Electricity gas steam and air conditionin,cbsl
2014,77638.88,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Electricity gas steam and air conditionin,cbsl
2015,82965.85,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Electricity gas steam and air conditionin,cbsl
2016,86881.75,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Electricity gas steam and air conditionin,cbsl
2017,90954.16,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Electricity gas steam and air conditionin,cbsl
2018,106773.64,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Electricity gas steam and air conditionin,cbsl
2019,118652.53,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Electricity gas steam and air conditionin,cbsl
2020,116710.24,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Electricity gas steam and air conditionin,cbsl
