Date,Value,Category,SubCategory,Source
2010,22280.52,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Manufacture of coke and refined petroleum p,cbsl
2011,5872.39,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Manufacture of coke and refined petroleum p,cbsl
2012,40338.83,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Manufacture of coke and refined petroleum p,cbsl
2013,66063.92,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Manufacture of coke and refined petroleum p,cbsl
2014,66690.36,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Manufacture of coke and refined petroleum p,cbsl
2015,20399.28,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Manufacture of coke and refined petroleum p,cbsl
2016,5048.89,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Manufacture of coke and refined petroleum p,cbsl
2017,30496.48,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Manufacture of coke and refined petroleum p,cbsl
2018,45276.69,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Manufacture of coke and refined petroleum p,cbsl
2019,83917.04,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Manufacture of coke and refined petroleum p,cbsl
2020,63059.88,National Accounts-GDP at Current Prices - Base Year 2010,GDP - Current Market Prices (2010 Series) - Industries - Manufacture of coke and refined petroleum p,cbsl
