Date,Value,Category,SubCategory,Source
1970,8,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1971,9,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1972,9,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1973,9,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1974,9,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1975,10,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1976,10,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1977,10,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1978,11,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1979,11,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1980,12,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1981,13,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1982,14,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1983,15,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1984,16,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1985,18,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1986,20,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1987,24,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1988,25,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1989,26,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1990,29,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1991,33,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1992,35,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1993,37,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1994,45,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1995,45,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1996,47,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1997,48,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1998,52,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
1999,57,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
2000,63,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
2001,64,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
2002,65,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
2003,68,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
2004,73,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
2005,77,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
2006,78,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
2007,80,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
2008,83,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
2009,85,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
2010,88,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
2011,91,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
2012,94,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
2013,96,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
2014,98,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
2015,99,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
2016,99.3,Other Socio-Economic Data-Access to Facilities,Electricity - Electrification level,cbsl
