Date,Value,Category,SubCategory,Source
1998-01,158212,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1998-02,187603,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1998-03,220710,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1998-04,148571,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1998-05,189264,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1998-06,93057,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1998-07,273132,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1998-08,165009,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1998-09,224152,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1998-10,126268,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1998-11,248176,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1998-12,121904,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1999-01,84539,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1999-02,0,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1999-03,158987,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1999-04,124604,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1999-05,126129,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1999-06,252456,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1999-07,125999,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1999-08,183430,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1999-09,238628,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1999-10,178462,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1999-11,181011,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
1999-12,177299,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
2000-01,285639,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
2000-02,110213,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
2000-03,212271,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
2000-04,207837,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
2000-05,189862,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
2000-06,185429,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
2000-07,208550,Petroleum-Petroleum,Petroleum - Crude oil imports,cbsl
