Date,Value,Category,SubCategory,Source
1998-01,90238,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1998-02,93375,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1998-03,112108,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1998-04,110151,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1998-05,107710,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1998-06,105429,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1998-07,115001,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1998-08,100657,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1998-09,99129,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1998-10,106588,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1998-11,98659,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1998-12,110565,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1999-01,120407,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1999-02,116306,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1999-03,117191,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1999-04,106084,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1999-05,110969,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1999-06,109683,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1999-07,110094,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1999-08,109327,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1999-09,123555,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1999-10,118069,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1999-11,136845,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
1999-12,144029,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
2000-01,143361,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
2000-02,138361,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
2000-03,169000,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
2000-04,143693,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
2000-05,162641,Petroleum-Petroleum,Petroleum - Diesel sales,cbsl
