Date,Value,Category,SubCategory,Source
1998-01,20076,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1998-02,18399,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1998-03,21002,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1998-04,18846,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1998-05,18420,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1998-06,19103,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1998-07,20624,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1998-08,19474,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1998-09,19084,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1998-10,19761,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1998-11,20207,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1998-12,20738,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1999-01,19816,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1999-02,18427,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1999-03,20995,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1999-04,19000,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1999-05,19717,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1999-06,20602,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1999-07,21254,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1999-08,20621,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1999-09,20493,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1999-10,19846,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1999-11,20612,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
1999-12,21906,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2000-01,19918,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2000-02,18357,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2000-03,20624,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2000-04,18529,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2000-05,18340,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2000-06,18559,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2000-07,19755,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2000-08,18499,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2000-09,19756,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2000-10,19940,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2000-11,18001,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2000-12,18178,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2001-01,19123,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2001-02,17158,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2001-03,19424,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2001-04,17291,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2001-05,17601,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2001-06,17558,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2001-07,20301,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2001-08,20536,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2001-09,21166,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2001-10,22232,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2001-11,18081,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2001-12,17388,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2002-01,20824,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2002-02,20272,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2002-03,22578,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2002-04,21023,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2002-05,17820,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2002-06,17701,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2002-07,19004,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2002-08,19464,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2002-09,17388,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2002-10,17853,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2002-11,17453,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2002-12,17432,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2003-01,18905,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2003-02,17464,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2003-03,18396,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2003-04,15519,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2003-05,16367,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2003-06,16043,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2003-07,18182,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2003-08,17714,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2003-09,17370,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2003-10,17103,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
2003-11,15993,Petroleum-Petroleum,Petroleum - Kerosene sales,cbsl
