Date,Value,Category,SubCategory,Source
1998-01,16960,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1998-02,14920,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1998-03,17000,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1998-04,18007,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1998-05,17223,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1998-06,17118,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1998-07,17002,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1998-08,16891,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1998-09,17135,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1998-10,17589,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1998-11,16264,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1998-12,18215,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1999-01,16796,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1999-02,16116,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1999-03,18158,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1999-04,18411,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1999-05,17878,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1999-06,17480,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1999-07,18816,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1999-08,17783,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1999-09,17933,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1999-10,17433,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1999-11,17592,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
1999-12,18678,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2000-01,17781,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2000-02,17476,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2000-03,19133,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2000-04,19458,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2000-05,18987,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2000-06,18753,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2000-07,18478,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2000-08,18749,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2000-09,19008,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2000-10,18485,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2000-11,18236,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2000-12,19828,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2001-01,20411,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2001-02,18511,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2001-03,21676,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2001-04,21032,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2001-05,21486,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2001-06,21317,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2001-07,20866,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2001-08,21374,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2001-09,20099,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2001-10,21367,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2001-11,20557,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2001-12,20810,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2002-01,22873,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2002-02,20834,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2002-03,23988,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2002-04,24675,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2002-05,23567,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2002-06,23064,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2002-07,24333,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2002-08,24922,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2002-09,23798,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2002-10,24596,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2002-11,24167,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2002-12,25285,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2003-01,26397,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2003-02,23202,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2003-03,21897,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2003-04,27640,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2003-05,27697,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2003-06,38282,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
2003-07,44605,Petroleum-Petroleum,Petroleum - Petrol sales,cbsl
