Date,Value,Category,SubCategory,Source
1999,105,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2000,40,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2002,38,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2003,58,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2004,73,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2005,81,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2006,90,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2007,147,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2008,109,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2009,178,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2010,215,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2011,284,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2012,421,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2013,350,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2014,392,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2015,488,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2016,535,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2017,570,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2018,604.0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2019,631,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2020,731.0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
2021,632,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-North-Central,cbsl
