Date,Value,Category,SubCategory,Source
1999,0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2000,0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2002,0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2003,0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2004,0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2005,0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2006,0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2007,0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2008,0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2009,0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2010,0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2011,0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2012,0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2013,189,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2014,219,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2015,283,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2016,305,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2017,324,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2018,378.0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2019,379,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2020,380.0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
2021,412,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Northern,cbsl
