Date,Value,Category,SubCategory,Source
1999,54,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2000,62,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2002,67,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2003,77,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2004,87,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2005,106,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2006,125,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2007,156,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2008,95,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2009,248,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2010,242,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2011,285,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2012,343,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2013,440,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2014,517,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2015,626,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2016,672,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2017,712,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2018,768.0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2019,791,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2020,780.0,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
2021,845,Revenue and Expenditure of Provincial Councils-Revenue of Provincial Councils,Analysis of Revenue Collection of Provincial Councils-Licence Fee - Vehicles-Sabaragamuwa,cbsl
